"field_agency_fire_id","field_agency_code","field_agency_data_timezone","field_situation_report_date","field_status_date","field_stage_of_control_status","field_system_fire_cause","field_response_type","field_fire_size","field_latitude","field_longitude","full_count"
"654","qc","EST","2023-08-07T18:13:00.000Z","2023-11-20T20:43:44.000Z","OUT","N","MON","1.10","55.1042","-75.9764","6668"
"693","qc","EST","2023-09-28T13:00:00.000Z","2023-11-20T20:40:45.000Z","OUT","N","MON","1.00","52.7583","-76.9422","6668"
"525","qc","EST","2023-06-24T13:00:00.000Z","2023-11-20T20:37:39.000Z","OUT","N","MON","33.00","54.52","-77.4333","6668"
"526","qc","EST","2023-06-23T17:47:00.000Z","2023-11-20T20:28:42.000Z","OUT","N","MON","15955.90","54.4136","-72.6189","6668"
"540","qc","EST","2023-07-02T17:33:00.000Z","2023-11-20T20:23:07.000Z","OUT","N","MON","162.10","53.4428","-72.7169","6668"
"706","qc","EST","2023-10-06T05:00:00.000Z","2023-11-20T20:20:56.000Z","OUT","H","FUL","0.00","45.5414","-75.7756","6668"
"541","qc","EST","2023-07-03T00:25:00.000Z","2023-11-20T20:16:40.000Z","OUT","N","MON","389.80","56.9319","-67.5875","6668"
"542","qc","EST","2023-07-02T19:35:00.000Z","2023-11-20T20:06:21.000Z","OUT","N","MON","0.10","56.2761","-68.8617","6668"
"543","qc","EST","2023-07-01T20:15:00.000Z","2023-11-20T20:02:50.000Z","OUT","N","MON","1195.40","54.8167","-72.3636","6668"
"544","qc","EST","2023-07-02T18:35:00.000Z","2023-11-20T19:59:44.000Z","OUT","N","MON","0.10","56.1239","-68.8125","6668"
"545","qc","EST","2023-07-02T18:35:00.000Z","2023-11-20T19:56:27.000Z","OUT","N","MON","0.10","56.1975","-68.8892","6668"
"2023-V63017","bc","PDT","2023-08-29T02:22:00.000Z","2023-11-20T19:01:00.000Z","OUT","N","FUL","0.10","48.395466999999996","-123.80158299999999","6668"
"2023-V61123","bc","PDT","2023-07-04T19:14:00.000Z","2023-11-20T19:01:00.000Z","OUT","H","FUL","0.01","48.730117","-124.17525000000001","6668"
"2023-V63320","bc","PDT","2023-09-20T17:29:00.000Z","2023-11-20T19:01:00.000Z","OUT","H","FUL","0.01","48.665717000000001","-123.802716","6668"
"2023-R10185","bc","PDT","2023-05-03T22:23:00.000Z","2023-11-20T18:30:00.000Z","OUT","H","FUL","3.00","54.198766999999997","-125.807","6668"
"2023-R10344","bc","PDT","2023-05-16T23:48:00.000Z","2023-11-20T18:30:00.000Z","OUT","H","FUL","17.00","53.700266999999997","-125.742817","6668"
"548","qc","EST","2023-07-02T17:30:00.000Z","2023-11-20T17:52:19.000Z","OUT","N","MON","1063.80","56.8667","-66.1603","6668"
"549","qc","EST","2023-07-03T00:25:00.000Z","2023-11-20T17:48:42.000Z","OUT","N","MON","0.20","56.8139","-67.3725","6668"
"550","qc","EST","2023-07-03T02:54:00.000Z","2023-11-20T17:46:49.000Z","OUT","N","MON","19887.50","56.9","-67.0406","6668"
"551","qc","EST","2023-07-02T19:50:00.000Z","2023-11-20T17:42:46.000Z","OUT","N","MON","0.20","55.1939","-69.3097","6668"
"552","qc","EST","2023-07-02T20:02:00.000Z","2023-11-20T17:37:40.000Z","OUT","N","MON","890.90","54.1528","-70.1653","6668"
"700","qc","EST","2023-10-02T18:00:00.000Z","2023-11-20T16:54:26.000Z","OUT","H","FUL","0.40","46.0325","-75.8269","6668"
"553","qc","EST","2023-07-02T18:35:00.000Z","2023-11-20T16:44:55.000Z","OUT","N","MON","0.10","56.3783","-68.9053","6668"
"258","qc","EST","2023-06-01T19:00:00.000Z","2023-11-20T15:58:45.000Z","OUT","N","FUL","2.40","48.855","-76.0808","6668"
"264","qc","EST","2023-06-01T20:00:00.000Z","2023-11-20T15:54:49.000Z","OUT","N","FUL","30.00","48.7808","-76.1764","6668"
"296","qc","EST","2023-06-01T20:30:00.000Z","2023-11-20T15:53:12.000Z","OUT","N","FUL","500.00","49.2281","-76.5572","6668"
"488","qc","EST","2023-06-18T21:13:00.000Z","2023-11-20T13:38:31.000Z","OUT","N","MOD","48247.20","50.2325","-78.3942","6668"
"23SF-DITCH31","sk","CST","2023-07-12T14:02:11.000Z","2023-11-20T13:06:35.000Z","OUT","H","MOD","0.20","50.39669","-104.74618","6668"
"23SF-DITCH30","sk","CST","2023-09-03T15:19:59.000Z","2023-11-20T12:33:32.000Z","OUT","H","MOD","0.40","49.744692","-103.158819","6668"
"HWF-104-2023","ab","MST","2023-07-03T22:19:00.000Z","2023-11-20T09:25:00.000Z","UC","N","FUL","14250.00","59.955033","-116.247333","6668"
"HWF-079-2023","ab","MST","2023-06-25T22:04:00.000Z","2023-11-20T09:25:00.000Z","UC","N","FUL","42579.00","59.860083","-115.8038","6668"
"2023-R33451","bc","PDT","2023-10-21T18:57:00.000Z","2023-11-18T00:01:00.000Z","OUT","H","MOD","0.10","54.703867000000002","-126.784167","6668"
"2023-R11725","bc","PDT","2023-07-15T20:41:00.000Z","2023-11-18T00:01:00.000Z","OUT","H","MON","330.00","53.536499999999997","-126.63079999999999","6668"
"2023-V33258","bc","PDT","2023-09-15T15:20:00.000Z","2023-11-18T00:01:00.000Z","OUT","N","MON","300.00","50.595883000000001","-122.73441699999999","6668"
"2023-V32307","bc","PDT","2023-07-29T01:02:00.000Z","2023-11-18T00:01:00.000Z","OUT","N","MON","1.30","50.551349999999999","-122.779567","6668"
"2023-R23312","bc","PDT","2023-09-18T18:04:00.000Z","2023-11-17T23:01:00.000Z","OUT","H","MON","0.35","53.919249999999998","-126.74678299999999","6668"
"2023-V83098","bc","PDT","2023-09-01T02:17:00.000Z","2023-11-17T22:31:00.000Z","OUT","N","FUL","0.01","49.563000000000002","-125.613333","6668"
"2023-R21286","bc","PDT","2023-07-08T18:28:00.000Z","2023-11-17T22:01:00.000Z","OUT","H","MON","0.00","53.652732999999998","-126.824333","6668"
"2023-V73355","bc","PDT","2023-09-24T23:58:00.000Z","2023-11-17T21:31:00.000Z","OUT","H","MOD","0.01","49.257466999999998","-124.884783","6668"
"2023-R21630","bc","PDT","2023-07-13T02:54:00.000Z","2023-11-17T21:31:00.000Z","OUT","H","MON","220.00","54.115983","-126.92273299999999","6668"
"317","qc","EST","2023-06-01T19:00:00.000Z","2023-11-17T21:30:28.000Z","OUT","N","FUL","0.00","48.0469","-76.0389","6668"
"224","qc","EST","2023-06-01T17:01:00.000Z","2023-11-17T20:59:04.000Z","OUT","N","FUL","244.80","47.9753","-75.2783","6668"
"2023-V93005","bc","PDT","2023-08-28T23:49:00.000Z","2023-11-17T19:31:00.000Z","OUT","N","FUL","0.10","50.835749999999997","-126.609167","6668"
"2023-V73334","bc","PDT","2023-09-21T22:09:00.000Z","2023-11-17T19:01:00.000Z","OUT","H","FUL","0.01","49.225499999999997","-125.192367","6668"
"2023-R21621","bc","PDT","2023-07-13T01:54:00.000Z","2023-11-17T18:01:00.000Z","OUT","N","MON","0.10","55.113833","-125.953833","6668"
"2023-R21622","bc","PDT","2023-07-13T01:58:00.000Z","2023-11-17T18:01:00.000Z","OUT","N","MON","20.00","55.067332999999998","-125.877667","6668"
"2023-R11592","bc","PDT","2023-07-12T19:21:00.000Z","2023-11-17T18:01:00.000Z","OUT","H","MON","203.80","53.471367000000001","-125.20313299999999","6668"
"2023-R11289","bc","PDT","2023-07-08T19:47:00.000Z","2023-11-17T17:01:00.000Z","OUT","H","MON","0.01","53.298699999999997","-126.869533","6668"
"673","qc","EST","2023-09-06T00:00:00.000Z","2023-11-17T15:55:11.000Z","OUT","H","MON","0.20","50.1508","-78.3081","6668"
"682","qc","EST","2023-09-19T20:00:00.000Z","2023-11-17T15:47:35.000Z","OUT","H","FUL","0.00","46.2808","-74.2853","6668"
"451","qc","EST","2023-06-06T17:26:00.000Z","2023-11-17T15:47:30.000Z","OUT","N","FUL","802.20","49.7681","-73.3861","6668"
"689","qc","EST","2023-09-20T19:00:00.000Z","2023-11-17T15:43:24.000Z","OUT","N","MON","17325.90","50.5711","-79.305","6668"
"671","qc","EST","2023-09-04T15:00:00.000Z","2023-11-17T15:40:59.000Z","OUT","H","FUL","20.00","50.3703","-78.2178","6668"
"466","qc","EST","2023-06-10T16:00:00.000Z","2023-11-17T15:36:55.000Z","OUT","N","FUL","3.00","50.5272","-74.6653","6668"
"482","qc","EST","2023-06-15T19:25:00.000Z","2023-11-17T15:28:47.000Z","OUT","H","FUL","0.50","49.7897","-74.5431","6668"
"496","qc","EST","2023-06-01T17:00:00.000Z","2023-11-17T14:45:33.000Z","OUT","N","FUL","133.80","48.5811","-75.7872","6668"
"23SF-DITCH29","sk","CST","2023-10-16T14:52:01.000Z","2023-11-17T11:25:04.000Z","OUT","H","MOD","0.50","49.140861","-103.859908","6668"
"GWF-078-2023","ab","MST","2023-11-11T21:05:00.000Z","2023-11-17T11:11:00.000Z","OUT","H","FUL","0.20","55.193153","-117.367745","6668"
"2023-V31311","bc","PDT","2023-07-08T23:47:00.000Z","2023-11-17T00:31:00.000Z","OUT","N","FUL","0.01","49.611800000000002","-123.153983","6668"
"2023-K23468","bc","PDT","2023-11-14T19:31:00.000Z","2023-11-17T00:01:00.000Z","OUT","H","FUL","0.01","50.578417000000002","-120.464367","6668"
"2023-V13342","bc","PDT","2023-09-22T07:38:00.000Z","2023-11-16T23:31:00.000Z","OUT","H","FUL","0.01","49.379817000000003","-123.27575","6668"
"2023-V72045","bc","PDT","2023-07-22T01:28:00.000Z","2023-11-16T22:01:00.000Z","OUT","H","FUL","0.01","49.044617000000002","-123.88035000000001","6668"
"2023-K52650","bc","PDT","2023-08-09T01:04:00.000Z","2023-11-16T21:31:00.000Z","OUT","N","FUL","0.02","49.724299999999999","-120.098933","6668"
"2023OC017","yt","PDT","2023-07-30T16:55:00.000Z","2023-11-16T21:22:00.000Z","OUT","N","FUL","26479.00","68.0804","-138.43495","6668"
"2023OC016","yt","PDT","2023-07-30T16:54:00.000Z","2023-11-16T21:19:00.000Z","OUT","N","FUL","16116.00","67.95989","-138.61084","6668"
"2023OC026","yt","PDT","2023-07-30T23:30:00.000Z","2023-11-16T21:17:00.000Z","OUT","N","FUL","26367.00","67.77572","-139.06673","6668"
"2023OC011","yt","PDT","2023-07-30T16:42:00.000Z","2023-11-16T21:14:00.000Z","OUT","N","FUL","6773.00","67.78593","-140.39204","6668"
"2023-V72000","bc","PDT","2023-07-21T07:45:00.000Z","2023-11-16T20:31:00.000Z","OUT","H","FUL","0.01","49.121082999999999","-123.93315","6668"
"712","qc","EST","2023-11-16T20:15:00.000Z","2023-11-16T20:15:00.000Z","OUT","H","FUL","0.10","48.7797","-67.3525","6668"
"2023OC009","yt","PDT","2023-07-30T16:22:00.000Z","2023-11-16T20:12:00.000Z","OUT","N","FUL","768.00","67.53253","-139.67667","6668"
"2023OC012","yt","PDT","2023-07-30T16:46:00.000Z","2023-11-16T20:10:00.000Z","OUT","N","FUL","674.00","67.70826","-139.89993","6668"
"2023-V31647","bc","PDT","2023-07-13T05:18:00.000Z","2023-11-16T20:01:00.000Z","OUT","N","FUL","1.10","50.123399999999997","-122.509367","6668"
"370","qc","EST","2023-06-01T18:00:00.000Z","2023-11-16T19:51:12.000Z","OUT","N","FUL","2169.00","49.2317","-75.3114","6668"
"369","qc","EST","2023-06-01T19:30:00.000Z","2023-11-16T19:29:13.000Z","OUT","N","FUL","24917.10","49.1686","-75.6703","6668"
"293","qc","EST","2023-06-01T21:00:00.000Z","2023-11-16T19:22:46.000Z","OUT","N","FUL","5.00","50.0478","-73.6247","6668"
"243","qc","EST","2023-06-01T20:00:00.000Z","2023-11-16T19:14:53.000Z","OUT","N","FUL","140.00","49.3275","-72.42","6668"
"241","qc","EST","2023-06-01T20:00:00.000Z","2023-11-16T19:12:06.000Z","OUT","N","FUL","6.00","49.3417","-72.4058","6668"
"2023-V30620","bc","PDT","2023-06-05T01:22:00.000Z","2023-11-16T19:01:00.000Z","OUT","H","FUL","0.20","49.443849999999998","-123.238467","6668"
"313","qc","EST","2023-06-01T20:33:00.000Z","2023-11-16T18:54:32.000Z","OUT","N","FUL","0.10","48.9906","-79.3867","6668"
"567","qc","EST","2023-07-04T01:20:00.000Z","2023-11-16T18:50:19.000Z","OUT","H","FUL","0.00","48.4267","-77.2339","6668"
"449","qc","EST","2023-06-02T20:00:00.000Z","2023-11-16T18:45:37.000Z","OUT","N","FUL","9137.10","49.2592","-74.985","6668"
"481","qc","EST","2023-06-14T23:35:00.000Z","2023-11-16T18:29:16.000Z","OUT","N","FUL","673.40","49.0325","-75.3508","6668"
"667","qc","EST","2023-08-27T23:00:00.000Z","2023-11-16T18:22:30.000Z","OUT","H","FUL","0.10","45.7486","-76.765","6668"
"665","qc","EST","2023-08-18T23:00:00.000Z","2023-11-16T18:19:38.000Z","OUT","N","FUL","0.00","46.2878","-76.215","6668"
"2023-V71784","bc","PDT","2023-07-17T01:55:00.000Z","2023-11-16T18:01:00.000Z","OUT","H","FUL","0.99","49.237833000000002","-124.791633","6668"
"2023-V11198","bc","PDT","2023-07-07T22:54:00.000Z","2023-11-16T17:31:00.000Z","OUT","N","FUL","1.10","49.31143333","-121.41863333000001","6668"
"2023-K62315","bc","PDT","2023-07-29T21:49:00.000Z","2023-11-16T17:01:00.000Z","OUT","H","FUL","5.50","50.277900000000002","-120.45996667","6668"
"2023-V13306","bc","PDT","2023-09-18T00:06:00.000Z","2023-11-16T17:01:00.000Z","OUT","H","FUL","0.09","49.417400000000001","-122.5471","6668"
"256","qc","EST","2023-06-01T17:00:00.000Z","2023-11-16T16:24:40.000Z","OUT","N","FUL","5872.10","49.3014","-76.9186","6668"
"344","qc","EST","2023-06-01T17:00:00.000Z","2023-11-16T16:21:30.000Z","OUT","N","FUL","277701.90","49.1222","-76.7867","6668"
"314","qc","EST","2023-06-01T17:00:00.000Z","2023-11-16T16:19:20.000Z","OUT","N","FUL","101699.80","49.5558","-76.7642","6668"
"480","qc","EST","2023-06-10T22:30:00.000Z","2023-11-16T16:16:00.000Z","OUT","N","MON","36538.60","51.6803","-73.2594","6668"
"245","qc","EST","2023-06-01T18:45:00.000Z","2023-11-16T15:59:21.000Z","OUT","N","FUL","7427.20","48.4708","-76.8569","6668"
"297","qc","EST","2023-06-01T19:12:00.000Z","2023-11-16T15:57:04.000Z","OUT","N","FUL","16434.70","48.1811","-76.9086","6668"
"382","qc","EST","2023-06-01T23:41:00.000Z","2023-11-16T15:41:54.000Z","OUT","N","FUL","1830.40","48.2969","-76.1019","6668"
"438","qc","EST","2023-06-06T02:30:00.000Z","2023-11-16T14:06:48.000Z","OUT","N","FUL","1.70","49.7389","-74.3097","6668"
"607","qc","EST","2023-07-05T16:43:00.000Z","2023-11-16T12:53:43.000Z","OUT","N","MOD","2384.90","51.8936","-76.8686","6668"
"606","qc","EST","2023-07-05T15:44:00.000Z","2023-11-16T12:48:12.000Z","OUT","N","MOD","58400.00","51.2325","-78.1725","6668"
"138","qc","EST","2023-05-19T19:30:00.000Z","2023-11-16T12:35:57.000Z","OUT","H","FUL","0.30","46.4536","-76.0219","6668"
"2023-V13055","bc","PDT","2023-08-29T23:42:00.000Z","2023-11-15T23:01:00.000Z","OUT","N","FUL","0.01","49.474367000000001","-121.74853299999999","6668"
"2023-K40216","bc","PDT","2023-05-05T19:06:00.000Z","2023-11-15T22:31:00.000Z","OUT","H","FUL","11.00","50.840232999999998","-118.53706699999999","6668"
"288","qc","EST","2023-06-01T17:50:00.000Z","2023-11-15T21:25:18.000Z","OUT","N","FUL","0.00","47.615","-76.5919","6668"
"2023-K41831","bc","PDT","2023-07-18T01:16:00.000Z","2023-11-15T21:01:00.000Z","OUT","N","FUL","0.01","50.535404999999997","-119.212923","6668"
"272","qc","EST","2023-06-01T17:00:00.000Z","2023-11-15T20:56:25.000Z","OUT","N","FUL","16.80","47.6158","-75.7881","6668"
"214","qc","EST","2023-05-31T16:00:00.000Z","2023-11-15T20:08:22.000Z","OUT","H","FUL","0.00","48.7619","-64.4536","6668"
"2023-K52318","bc","PDT","2023-07-29T22:21:00.000Z","2023-11-15T19:31:00.000Z","OUT","H","FUL","7060.60","49.001049999999999","-119.50566600000001","6668"
"2023-V10500","bc","PDT","2023-05-25T22:04:00.000Z","2023-11-15T19:31:00.000Z","OUT","H","FUL","0.01","49.352899999999998","-123.339533","6668"
"281","qc","EST","2023-06-01T20:56:00.000Z","2023-11-15T18:43:49.000Z","OUT","N","FUL","10541.80","49.0622","-79.3578","6668"
"274","qc","EST","2023-06-01T19:38:00.000Z","2023-11-15T18:19:41.000Z","OUT","N","FUL","87689.40","49.5083","-75.2878","6668"
"2023-C50678","bc","PDT","2023-06-08T23:40:00.000Z","2023-11-15T18:01:00.000Z","OUT","H","FUL","0.10","52.120550000000001","-123.2388","6668"
"2023-C23225","bc","PDT","2023-09-11T02:47:00.000Z","2023-11-15T17:31:00.000Z","OUT","N","FUL","0.70","52.318716999999999","-121.902367","6668"
"2023-V30293","bc","PDT","2023-05-13T23:33:00.000Z","2023-11-15T17:31:00.000Z","OUT","H","FUL","38.00","50.061067000000001","-123.32965","6668"
"2023-V10304","bc","PDT","2023-05-14T17:53:00.000Z","2023-11-15T17:31:00.000Z","OUT","H","FUL","0.40","49.337466999999997","-122.888267","6668"
"339","qc","EST","2023-06-01T17:00:00.000Z","2023-11-15T17:04:15.000Z","OUT","N","FUL","1913.50","48.4889","-74.8294","6668"
"2023-C33439","bc","PDT","2023-10-23T17:07:00.000Z","2023-11-15T17:01:00.000Z","OUT","H","FUL","0.01","52.605583000000003","-121.4883","6668"
"519","qc","EST","2023-06-23T23:17:00.000Z","2023-11-15T15:32:24.000Z","OUT","N","FUL","1579.00","49.9167","-79.4","6668"
"169","qc","EST","2023-05-28T15:00:00.000Z","2023-11-15T15:20:18.000Z","OUT","H","FUL","3.10","48.6069","-71.0317","6668"
"394","qc","EST","2023-06-02T01:08:00.000Z","2023-11-15T15:20:15.000Z","OUT","N","FUL","73.70","46.2269","-76.4597","6668"
"694","qc","EST","2023-09-28T16:00:00.000Z","2023-11-15T15:06:27.000Z","OUT","H","FUL","0.00","47.995","-76.9744","6668"
"471","qc","EST","2023-06-01T19:15:00.000Z","2023-11-15T14:37:43.000Z","OUT","N","FUL","9.20","47.6022","-76.1561","6668"
"341","qc","EST","2023-06-01T23:00:00.000Z","2023-11-15T14:24:42.000Z","OUT","N","FUL","0.10","48.4897","-74.8353","6668"
"423","qc","EST","2023-06-02T23:00:00.000Z","2023-11-15T13:34:12.000Z","OUT","N","FUL","2.80","48.9383","-71.3344","6668"
"687","qc","EST","2023-09-22T22:00:00.000Z","2023-11-15T13:22:48.000Z","OUT","H","FUL","0.00","48.1464","-77.4475","6668"
"663","qc","EST","2023-08-10T18:10:00.000Z","2023-11-15T12:47:10.000Z","OUT","N","MON","300.00","51.0542","-79.1325","6668"
"SWF-138-2023","ab","MST","2023-10-04T23:05:00.000Z","2023-11-15T12:30:00.000Z","OUT","H","FUL","4.00","55.0234","-115.349233","6668"
"MWF-066-2023","ab","MST","2023-11-14T17:51:00.000Z","2023-11-15T10:33:00.000Z","OUT","H","FUL","0.01","56.370667","-111.4537","6668"
"2023-V33249","bc","PDT","2023-09-14T01:41:00.000Z","2023-11-15T00:01:00.000Z","OUT","N","MON","10.00","50.259283000000003","-123.6555","6668"
"2023-V51695","bc","PDT","2023-07-14T22:33:00.000Z","2023-11-14T23:31:00.000Z","OUT","N","MON","122.00","51.137582999999999","-124.994467","6668"
"2023-V52831","bc","PDT","2023-08-18T20:36:00.000Z","2023-11-14T23:31:00.000Z","OUT","N","MON","181.00","51.036417","-125.15011699999999","6668"
"2023-V51696","bc","PDT","2023-07-14T22:49:00.000Z","2023-11-14T23:31:00.000Z","OUT","N","MON","238.00","51.167883000000003","-125.017033","6668"
"2023-K20714","bc","PDT","2023-06-10T23:43:00.000Z","2023-11-14T23:01:00.000Z","OUT","N","FUL","0.01","50.771616000000002","-120.38249999999999","6668"
"2023-V52804","bc","PDT","2023-08-17T23:02:00.000Z","2023-11-14T23:01:00.000Z","OUT","N","MON","302.00","50.669283","-123.9888","6668"
"2023-V53027","bc","PDT","2023-08-29T16:46:00.000Z","2023-11-14T23:01:00.000Z","OUT","N","MOD","415.50","49.712249999999997","-123.5527","6668"
"2023-V53043","bc","PDT","2023-08-29T20:35:00.000Z","2023-11-14T23:01:00.000Z","OUT","N","FUL","2.50","49.871833000000002","-123.951617","6668"
"2023-V53071","bc","PDT","2023-08-30T18:41:00.000Z","2023-11-14T23:01:00.000Z","OUT","N","MON","2.00","50.491883000000001","-124.3295","6668"
"2023-V53075","bc","PDT","2023-08-30T21:52:00.000Z","2023-11-14T23:01:00.000Z","OUT","N","MON","262.00","50.532217000000003","-124.339617","6668"
"2023-V53097","bc","PDT","2023-09-01T01:17:00.000Z","2023-11-14T23:01:00.000Z","OUT","N","MON","162.00","49.941133000000001","-123.8013","6668"
"2023-V53186","bc","PDT","2023-09-08T01:31:00.000Z","2023-11-14T23:01:00.000Z","OUT","N","MON","0.50","49.822367","-123.812183","6668"
"2023-V31726","bc","PDT","2023-07-15T21:24:00.000Z","2023-11-14T22:31:00.000Z","OUT","N","MON","258.00","50.707799999999999","-123.315917","6668"
"2023-N12546","bc","PDT","2023-08-06T23:31:00.000Z","2023-11-14T21:31:00.000Z","OUT","N","MOD","2512.00","50.161700000000003","-114.99495","6668"
"2023-K53294","bc","PDT","2023-09-17T02:25:00.000Z","2023-11-14T21:01:00.000Z","OUT","H","FUL","1116.20","49.771033000000003","-119.9618","6668"
"664","qc","EST","2023-08-25T14:00:00.000Z","2023-11-14T19:58:11.000Z","OUT","H","FUL","0.00","49.1069","-79.3319","6668"
"646","qc","EST","2023-08-03T18:37:00.000Z","2023-11-14T19:14:56.000Z","OUT","N","FUL","0.00","46.8558","-79.2042","6668"
"642","qc","EST","2023-07-30T21:30:00.000Z","2023-11-14T19:01:54.000Z","OUT","H","FUL","0.10","48.2072","-77.7108","6668"
"637","qc","EST","2023-07-22T00:45:00.000Z","2023-11-14T18:43:48.000Z","OUT","H","FUL","0.00","48.3158","-77.8383","6668"
"2023-G11943","bc","PDT","2023-07-20T22:56:00.000Z","2023-11-14T18:31:00.000Z","OUT","N","MOD","13.60","53.657283","-121.06999999999999","6668"
"690","qc","EST","2023-09-26T18:00:00.000Z","2023-11-14T18:16:41.000Z","OUT","H","FUL","2.60","45.9781","-74.1344","6668"
"2023-G73467","bc","PDT","2023-11-10T17:20:00.000Z","2023-11-14T18:01:00.000Z","UC","H","MON","0.20","55.494050000000001","-120.982083","6668"
"2023-G11532","bc","PDT","2023-07-11T06:44:00.000Z","2023-11-14T17:31:00.000Z","OUT","N","FUL","1100.00","54.961382999999998","-122.6221","6668"
"2023-G12002","bc","PDT","2023-07-21T17:45:00.000Z","2023-11-14T17:31:00.000Z","OUT","N","MON","351.70","54.60895","-121.795233","6668"
"2023-G73347","bc","PDT","2023-09-22T22:59:00.000Z","2023-11-14T17:31:00.000Z","UC","N","FUL","15.00","55.733266999999998","-122.26145","6668"
"2023-G73301","bc","PDT","2023-09-17T18:09:00.000Z","2023-11-14T17:31:00.000Z","UC","N","MON","1.00","56.054250000000003","-122.32245","6668"
"2023-G73192","bc","PDT","2023-09-08T20:11:00.000Z","2023-11-14T17:31:00.000Z","UC","N","MON","17.00","55.409717000000001","-121.18508300000001","6668"
"2023-G11293","bc","PDT","2023-07-08T20:50:00.000Z","2023-11-14T17:31:00.000Z","OUT","N","FUL","2420.00","53.481499999999997","-123.847167","6668"
"2023-G73406","bc","PDT","2023-10-09T00:04:00.000Z","2023-11-14T17:31:00.000Z","UC","N","FUL","1246.00","55.631917000000001","-121.427567","6668"
"499","qc","EST","2023-06-22T04:00:00.000Z","2023-11-14T17:30:28.000Z","OUT","H","FUL","0.10","46.2825","-74.7122","6668"
"360","qc","EST","2023-05-31T22:00:00.000Z","2023-11-14T17:13:26.000Z","OUT","N","FUL","229.50","47.4275","-75.9203","6668"
"538","qc","EST","2023-07-01T22:30:00.000Z","2023-11-14T15:31:47.000Z","OUT","N","FUL","0.00","47.4439","-79.4828","6668"
"537","qc","EST","2023-07-01T22:30:00.000Z","2023-11-14T15:31:11.000Z","OUT","N","FUL","0.10","47.3442","-79.3136","6668"
"532","qc","EST","2023-06-30T20:40:00.000Z","2023-11-14T15:28:30.000Z","OUT","H","FUL","0.00","47.2592","-79.4103","6668"
"509","qc","EST","2023-06-23T17:05:00.000Z","2023-11-14T15:27:44.000Z","OUT","H","FUL","0.90","48.6758","-78.2406","6668"
"507","qc","EST","2023-06-22T21:30:00.000Z","2023-11-14T15:14:22.000Z","OUT","H","FUL","0.10","48.3594","-78.8842","6668"
"505","qc","EST","2023-06-22T20:55:00.000Z","2023-11-14T15:13:50.000Z","OUT","H","FUL","0.00","48.4708","-78.1986","6668"
"497","qc","EST","2023-06-22T18:00:00.000Z","2023-11-14T15:12:32.000Z","OUT","H","FUL","0.80","48.0011","-77.9289","6668"
"402","qc","EST","2023-06-01T19:54:00.000Z","2023-11-14T15:07:03.000Z","OUT","N","FUL","8000.00","48.7511","-76.4647","6668"
"325","qc","EST","2023-06-02T01:00:00.000Z","2023-11-14T15:06:44.000Z","OUT","N","FUL","0.40","49.3711","-77.0447","6668"
"62702","nb","AST","2023-11-14T12:41:02.000Z","2023-11-14T14:02:00.000Z","OUT","U","FUL","0.60","45.58923","-66.83333","6668"
"EWF-087-2023","ab","MST","2023-11-10T16:30:00.000Z","2023-11-14T11:00:00.000Z","OUT","H","FUL","0.01","53.628617","-116.580583","6668"
"404","qc","EST","2023-06-01T17:00:00.000Z","2023-11-13T23:12:32.000Z","OUT","N","FUL","164.80","47.2269","-74.8572","6668"
"2023-K41194","bc","PDT","2023-07-07T22:05:00.000Z","2023-11-13T21:31:00.000Z","OUT","N","FUL","4.20","50.411749999999998","-119.30096666999999","6668"
"680","qc","EST","2023-09-08T00:35:00.000Z","2023-11-13T20:30:41.000Z","OUT","N","FUL","0.00","46.0369","-75.8417","6668"
"679","qc","EST","2023-09-12T23:00:00.000Z","2023-11-13T20:04:00.000Z","OUT","H","FUL","0.00","46.1339","-74.1617","6668"
"379","qc","EST","2023-06-02T15:00:00.000Z","2023-11-13T15:02:35.000Z","OUT","N","FUL","55623.10","50.1667","-73.4733","6668"
"CWF-087-2023","ab","MST","2023-11-11T20:11:00.000Z","2023-11-12T11:10:00.000Z","OUT","U","FUL","0.01","49.877883","-114.3238","6668"
"23SF-DITCH28","sk","CST","2023-11-11T15:32:42.000Z","2023-11-11T16:00:00.000Z","OUT","H","MOD","0.10","50.425917","-107.173717","6668"
"HWF-172-2023","ab","MST","2023-11-11T19:37:00.000Z","2023-11-11T12:50:00.000Z","OUT","H","FUL","0.01","58.035233","-116.3554","6668"
"2023-R41594","bc","PDT","2023-07-12T19:35:00.000Z","2023-11-11T00:01:00.000Z","OUT","N","MON","0.00","54.979467","-127.842533","6668"
"2023-R41400","bc","PDT","2023-07-09T21:26:00.000Z","2023-11-10T23:31:00.000Z","OUT","N","MON","0.01","56.0214","-127.95780000000001","6668"
"2023-R41567","bc","PDT","2023-07-11T23:30:00.000Z","2023-11-10T23:31:00.000Z","OUT","N","FUL","0.50","55.068416999999997","-128.304","6668"
"2023-R41394","bc","PDT","2023-07-09T20:38:00.000Z","2023-11-10T23:31:00.000Z","OUT","N","FUL","0.01","55.188232999999997","-127.8211","6668"
"2023-V83080","bc","PDT","2023-08-30T23:44:00.000Z","2023-11-10T20:31:00.000Z","OUT","N","MON","8.18","49.938966999999998","-125.7452","6668"
"2023-V82535","bc","PDT","2023-08-06T21:58:00.000Z","2023-11-10T20:31:00.000Z","OUT","N","MON","0.01","49.731966999999997","-125.68686700000001","6668"
