INITDATE,GEOS-5.IMERGEARLY,0,1,2,3,4,5,6,7,8
22-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-Jan-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
07-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
08-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
09-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28-Feb-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
07-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
08-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
09-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31-Mar-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
07-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
08-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
09-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28-Apr-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29-Apr-2023,2.95790481567383,2.91730341911316,2.95547556877136,2.54526090621948,1.87023794651031,NaN,NaN,NaN,NaN,NaN
30-Apr-2023,4.4560694694519,4.44880218505859,4.23214826583862,3.32547233104706,4.01636166572571,0.953141897916794,3.21484415531158,4.70151658058167,5.23387765884399,NaN
01-May-2023,4.35386414527893,7.45169229507446,6.63324861526489,6.55782890319824,6.08412861824036,6.24740409851074,1.22354888916016,3.91374399662018,6.70953707695007,3.58972690105438
02-May-2023,5.75967693328857,7.33661031723022,6.42727589607239,7.05527830123902,6.37935471534729,6.74365577697754,3.26197600364685,3.94796895980835,4.3591835975647,8.69607601165771
03-May-2023,4.50966215133667,4.89458608627319,5.22306060791016,5.85587730407715,4.19007496833801,4.12374229431152,3.36713051795959,2.30189218521118,2.67992792129517,3.58827815055847
04-May-2023,3.92646479606628,3.97481369972229,3.96427881717682,4.03225831985474,4.26720948219299,3.6320613861084,4.40737838745117,3.11317887306213,1.79825127124786,3.23837766647339
05-May-2023,4.20658254623413,4.3615517616272,3.63962497711182,3.36668617725372,3.80195579528809,3.57875699996948,3.38829936981201,5.55183911323548,2.89589638710022,2.55231699943543
06-May-2023,6.03521823883057,6.06709575653076,6.1477783203125,5.25953941345215,5.35907392501831,4.46340951919556,4.74164667129517,4.85332765579224,4.70497794151306,3.40016028881073
07-May-2023,5.45637512207031,5.37562665939331,5.58499541282654,5.33778786659241,4.41477723121643,3.69506857395172,3.67220139503479,4.31499395370483,3.83461532592773,4.38819026947021
08-May-2023,6.05957365036011,5.97236595153809,5.69897575378418,5.1726420879364,5.2220606803894,4.7992422580719,3.37752225399017,3.77000014781952,4.79651021957397,4.9743013381958
09-May-2023,4.86377573013306,4.79339504241943,5.16820049285889,4.86322674751282,4.98833255767822,4.23323111534119,4.64216966629028,3.79214205741882,3.17213461399078,4.27406692504883
10-May-2023,6.86451148986816,6.72545347213745,7.37910594940186,6.96622481346131,5.59700465202332,5.87950029373169,5.40454711914062,3.26518259048462,6.03804779052734,4.76647071838379
11-May-2023,5.01184844970703,5.33557929992676,6.10685143470764,6.01937627792358,4.6963059425354,5.06391077041626,6.74176549911499,6.24074687957764,5.45900392532349,5.10616178512573
12-May-2023,4.49495792388916,2.69396858215332,2.4541736125946,2.30983138084412,0.792108184099197,2.73241903781891,4.23983435630798,1.69274286031723,5.17003951072693,5.79198045730591
13-May-2023,3.89480543136597,0.188273087143898,1.35212798118591,0.885766756534576,0.839925837516785,0.583993136882782,2.77050790786743,4.17989435195923,0.765263080596924,0.774863481521606
14-May-2023,4.74843645095825,2.59435653686523,2.02415829896927,2.39020013809204,1.65679943561554,0.863580644130707,1.09807415008545,4.05439872741699,3.75769062042236,1.1014514029026
15-May-2023,0.790872889757156,0.111717939376831,0.11521577835083,0.289791911840439,0.530134528875351,0.0126483962871134,0.383595851063728,1.71339814662933,3.09515357017517,5.48587083816528
16-May-2023,2.37273948192596,0.792574167251587,NaN,0.290190070867538,NaN,4.78563461303711,NaN,NaN,0.00689035234972835,NaN
17-May-2023,2.59690356254578,NaN,NaN,NaN,NaN,NaN,3.20838809013367,NaN,NaN,NaN
18-May-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.20513355731964,3.74163413047791,NaN
19-May-2023,NaN,NaN,NaN,NaN,7.37466689315625e-05,NaN,NaN,NaN,6.04467830657959,1.1484816133976
20-May-2023,4.47724199295044,4.47107462882996,4.47665929794312,3.99202404022217,4.00608682632446,4.6326756477356,9.37240333557129,3.72577619552612,3.04893016815186,0.429035127162933
21-May-2023,3.94157934188843,0.738223016262054,0.480074912309647,1.19519968032837,0.838885021209717,0.387127539515495,2.96421196460724,0.441911551356316,3.24445018768311,6.14564037322998
22-May-2023,2.86844253540039,0.682294189929962,0.732726991176605,0.642416417598724,1.83143608570099,0.792737066745758,3.56944508552551,3.62418398857117,3.27518134117126,0.861161410808563
23-May-2023,4.68648529052734,5.87347679138184,5.4579005241394,5.74875679016113,4.35888338088989,6.27650570869446,3.78985261917114,4.28580055236816,3.80003726482391,1.63066205978394
24-May-2023,0.441126316785812,0.313887087628245,1.04110640287399,0.0896762415766716,0.0687441527843475,0.232409000396729,0.274334418773651,0.00251263356767595,5.43378124237061,6.00095415115356
25-May-2023,3.84448456764221,3.76918907165527,3.38549590110779,3.18739759922028,3.24923021793365,3.03078455924988,2.82019553184509,2.12506995201111,0.270981884002686,6.85805554389954
26-May-2023,3.63140845298767,3.64096732139587,3.67266712188721,3.1913153886795,3.66330108642578,8.81469535827637,8.24192562103272,4.33175182342529,3.32152423858643,2.61018083095551
27-May-2023,4.39032125473022,4.82599153518677,4.22514934539795,4.33841867446899,4.08969712257385,5.55629768371582,0.688922899961472,5.94856452941895,6.55320262908936,5.80466156005859
28-May-2023,3.2785165309906,0.758015668392181,0.746756422519684,0.36398805975914,0.522840440273285,5.13796234130859,0.161920619010926,3.87237968444824,0.537260204553604,6.45081424713135
29-May-2023,5.44835567474365,4.38108563423157,4.58424797058106,4.02423810958862,3.59698915481567,2.23662388324738,2.808314037323,1.48230956792832,6.17189087867737,2.78444690704346
30-May-2023,6.84405069351197,6.52808837890625,7.19348278045654,5.98937387466431,6.31618413925171,6.3576099395752,4.2585036277771,4.03258876800537,4.3903902053833,0.867137610912323
31-May-2023,6.76190185546875,6.57233715057373,7.88534879684448,7.70694227218628,7.3586865901947,6.55094289779663,6.1602490901947,5.68331160545349,0.674390172958374,6.28708710670471
01-Jun-2023,5.70389618873596,1.98210277557373,2.70156083106995,2.00261194705963,3.64922213554382,2.15618772506714,3.36041913032531,0.99150812625885,4.23635358810425,2.04379167556763
02-Jun-2023,8.37085876464844,4.96036415100098,5.41109085083008,6.22845301628113,4.04715299606323,4.03934831619263,3.04054791927338,3.08671247959137,2.15901756286621,3.51798629760742
03-Jun-2023,7.84704265594483,6.37586388587952,6.47880086898804,5.9765275478363,6.24038434028625,6.18549070358276,5.82680377960205,2.94358098506927,2.81065044403076,0.671976172924042
04-Jun-2023,8.48285331726074,7.23189926147461,7.26918497085571,7.47293901443481,7.66460857391357,9.34523048400879,7.81028747558594,7.73933892250061,4.9806426525116,1.97342830896378
05-Jun-2023,8.66267013549805,10.7688108444214,9.41952209472656,5.00058860778809,8.95929355621338,9.63549556732178,10.8342866897583,9.9469690322876,7.68423280715942,5.15132303237915
06-Jun-2023,11.1899295806885,12.1092836380005,10.9264785766602,9.28737964630127,5.75761456489563,8.71992874145508,7.52498302459717,7.71722412109375,3.73603477478027,1.42342578172684
07-Jun-2023,12.5771597862244,14.2086090087891,13.4710241317749,12.3009686470032,10.391740322113,6.92482032775879,8.04770603179932,5.72590417861939,5.42907485961914,0.898188680410385
08-Jun-2023,7.99542374610901,8.71512928009033,8.67775821685791,8.87115421295166,9.33552360534668,8.40225124359131,7.05964326858521,8.99680480957031,6.83666138648987,6.61045408248901
09-Jun-2023,7.85890865325928,8.3991135597229,8.50488748550415,8.22135591506958,7.93501424789429,9.10276479721069,13.7713921546936,11.2099252700806,11.7435566902161,7.1812349319458
10-Jun-2023,6.1461699962616,5.32849383354187,6.242809009552,6.65229721069336,7.24214835166931,5.72950110435486,7.89140605926514,5.66792459487915,7.06768131256103,6.14851183891296
11-Jun-2023,6.89904518127441,3.30911993980408,3.47980167865753,4.09983444213867,4.80331854820251,8.47185430526734,3.41563749313355,8.6204119682312,8.7867790222168,2.99855923652649
12-Jun-2023,8.69794521331787,6.50313997268677,6.05140733718872,6.38911190032959,6.43121147155762,8.40176248550415,8.37183151245117,3.42629456520081,0.86495851278305,9.91645708084106
13-Jun-2023,10.9322357177734,9.28064422607422,10.4378027915955,9.4008584022522,8.95357179641724,8.87204217910767,11.135936164856,11.6180051803589,3.50920259952545,2.7975754737854
14-Jun-2023,8.40074253082275,6.43642473220826,9.98639698028565,8.4791006088257,6.87811365127564,5.35035409927368,14.8022909164429,15.736248588562,11.1313717842102,3.35160546302795
15-Jun-2023,10.8234786987305,8.53059711456299,8.91232643127442,13.8674731254578,13.5297136306763,4.86841516494751,2.10179853439331,14.1242594718933,10.9539861679077,13.096333026886
16-Jun-2023,10.547101020813,9.89907302856445,9.81359348297119,10.5643020629883,12.4227904319763,11.3228764533997,6.24265871047974,0.818081229925155,9.62964191436768,11.8238090515137
17-Jun-2023,7.39396848678589,6.53828525543213,7.73009586334229,8.54635772705078,8.29584980010986,8.4321455001831,8.83232116699219,5.46884775161743,1.46010226011276,14.3361903190613
18-Jun-2023,9.46085844039917,8.09822292327881,7.76064968109131,7.67102360725403,8.46528263092041,7.96636800765991,8.63747997283936,7.43493723869324,6.93119406700134,2.29702296257019
19-Jun-2023,11.8716812133789,10.7909132003784,10.212401008606,9.17021808624268,9.14892015457153,7.48325471878052,8.44460391998291,9.72231903076172,10.4692575454712,9.38088474273682
20-Jun-2023,15.2084134101868,14.7024612426758,15.4534260749817,14.1277243614197,14.5907825469971,12.3630812644959,9.13786849975586,9.27483110427857,12.2089214324951,11.9651479721069
21-Jun-2023,15.3559675216675,15.0935112953186,17.8875886917114,16.5804100036621,14.5810054779053,12.7064207077026,10.4805132865906,10.6511168479919,11.1512699127197,16.2196475982666
22-Jun-2023,16.9914379119873,15.6095977783203,16.6993495941162,17.474222946167,16.0198755264282,15.6791957855225,9.35613851547241,4.18762240409851,12.9059873580933,NaN
23-Jun-2023,14.8622540473938,13.0222309112549,13.8183862686157,12.7669143676758,16.3523235321045,17.3042711257935,13.1882018089294,7.76648378372192,9.09536361694336,13.480717086792
24-Jun-2023,13.0103228569031,4.87589020729065,4.29369602203369,4.66118125915527,4.18591661453247,5.77305760383606,10.1680131912231,8.68097896575929,3.47296435832977,3.48382782936096
25-Jun-2023,10.9536655426025,6.32061128616333,6.92302947044373,7.31452674865723,7.161305809021,7.55303649902344,7.34470810890198,11.6224784851074,10.6193222045898,7.15764026641846
26-Jun-2023,13.1437961578369,10.1903001785278,10.6208435058594,10.6143142700195,10.3960037231445,12.9970099449158,8.99814577102661,11.9822735786438,18.0010478973389,17.1033458709717
27-Jun-2023,5.05943508148193,9.39316511154176,9.75728254318237,7.94195981025696,9.59954605102539,9.48080015182495,9.96062288284302,5.77805156707764,12.995624256134,12.6953667640686
28-Jun-2023,8.41412982940674,10.371192741394,10.2724320411682,11.4101111412048,8.55066919326782,11.787988948822,12.2593921661377,9.03358125686646,8.11937837600708,13.2541101455688
29-Jun-2023,10.1342615127563,10.7318810462952,10.4023979187012,10.2502420425415,12.7030310630798,10.5513854980469,13.9261024475098,13.6844363212585,12.7596297264099,6.7478066444397
30-Jun-2023,11.6245557785034,12.1389899253845,11.995876121521,14.8463161468506,10.3867558479309,10.6818828582764,11.494340801239,11.1328909873962,8.12348022460938,13.4133991241455
01-Jul-2023,9.77369709014893,9.7928032875061,9.67735433578491,11.7600054740906,13.6312874794006,13.8149683952332,11.4806975364685,14.2573914527893,13.5691824913025,7.14899859428406
02-Jul-2023,9.04215812683105,6.47485375404358,7.95150208473206,3.90053868293762,9.58189563751221,5.61867327690125,12.1946938514709,10.727445602417,13.9700994491577,12.260656452179
03-Jul-2023,11.0762401580811,8.96206312179566,8.27384481430054,7.96105699539185,6.09846124649048,8.87718906402588,1.68593639135361,5.95230684280395,8.77418193817139,17.8379669189453
04-Jul-2023,15.0812927246094,13.8934048652649,14.9708616256714,15.0135865211487,13.8423421859741,16.3185995101929,15.3994630813599,5.27776145935059,8.56950979232788,12.5663327217102
05-Jul-2023,10.686637878418,10.1097140312195,11.4194931983948,10.5234957695007,10.8708008766174,10.4216687202454,7.46160674095154,10.4590037345886,3.8991487979889,2.96740362644196
06-Jul-2023,5.02367458343506,4.28698344230652,7.30678668022156,7.48521399497986,12.3146577835083,3.5836480140686,3.63316321372986,3.48549132347107,11.1290006637573,6.23870544433594
07-Jul-2023,2.19831514358521,0.988201832771301,1.61630144119263,1.50731872320175,1.8421975851059,4.54018788337708,2.48419473171235,0.684867084026338,8.11062679290772,10.3121173858643
08-Jul-2023,6.37143363952637,6.24143500328064,6.47641139030457,6.88725728988647,8.60227479934692,9.03713827133179,3.37211697101593,1.07532775402069,1.45262839794159,NaN
09-Jul-2023,3.6571517944336,3.95462324619293,4.91048879623413,3.58159892559052,4.62902069091797,4.35510129928589,9.45943927764893,3.96576251983643,3.84459383487701,2.48385620117188
10-Jul-2023,4.86528649330139,5.36776242256165,4.02732954025269,8.42711496353149,10.205525302887,4.33170108795166,7.98630332946778,8.29177703857422,8.74581079483032,8.46832818984985
11-Jul-2023,3.25985124111176,2.28090329170227,2.67297117710114,2.2710001707077,1.60640938282013,2.37147204875946,3.57250571250916,3.35345332622528,13.3052072525024,6.44894289970398
12-Jul-2023,6.33732209205628,1.66560175418854,1.56717242002487,NaN,2.54292607307434,3.79937725067139,2.46036751270294,NaN,2.70154914855957,11.8480205535889
13-Jul-2023,10.3132490158081,5.16838741302491,5.9583028793335,5.00948357582092,3.89123845100403,5.45268845558167,5.0864230632782,4.15664663314819,NaN,3.48048369884491
14-Jul-2023,7.05239562988281,5.25278363227844,6.61806240081787,7.92497878074646,8.14271984100342,5.54388656616211,6.52348031997681,9.59873027801514,9.65704174041748,NaN
15-Jul-2023,4.84642338752748,3.43595442771912,3.56170012950897,3.56800692081452,3.7998437166214,7.18503675460816,1.93081957101822,5.91590971946717,8.41459531784058,10.5532035827637
16-Jul-2023,4.50517206192017,0.98711764216423,0.895457994937897,1.03004469275475,1.43590633869171,0.932714295387268,2.66482384204865,0.445410722494125,0.600520372390747,9.51833047866821
17-Jul-2023,0.828954100608826,0.367694097757339,0.524139368534088,0.487931624054909,0.540653187036514,0.513436675071716,0.571291828155518,0.445210400223732,0.5726118683815,0.965412777662277
18-Jul-2023,1.63501799106598,0.6082195520401,0.709490299224854,0.96302090883255,1.21420228481293,0.660555303096771,0.586521714925766,0.410984307527542,0.780303263664246,0.599170625209808
19-Jul-2023,1.89675645828247,0.750090533494949,0.771077227592468,0.783632910251618,1.33926528692245,0.730041861534119,0.897688686847687,0.460332721471786,1.56392695903778,0.402508521080017
20-Jul-2023,3.02578129768372,0.820233875513077,0.733887451887131,0.893729650974274,1.31228913068771,1.15552926063538,0.874659597873688,0.861495339870453,0.595769184827805,3.64313888549805
21-Jul-2023,4.15237436294556,1.10441012382507,1.91002995967865,1.93789921998978,2.89683651924133,3.3431168794632,3.76941249370575,2.62673048973084,1.90076189041138,2.78474516868591
22-Jul-2023,5.6081413269043,3.27752373218536,3.6868008852005,3.63308699131012,3.80942475795746,4.22685022354126,3.47838940620423,5.51450786590576,3.93874208927155,NaN
23-Jul-2023,8.54528751373291,7.36278119087219,7.60235462188721,6.38157825469971,7.32871694564819,9.29132356643677,7.66196599006653,7.82123260498047,7.29720315933228,6.71356596946717
24-Jul-2023,4.41050729751587,2.97926013469696,1.87212818861008,1.31778779029846,3.4094640493393,6.17649722099304,4.10574460029602,2.09529407024384,2.70695724487305,9.11038875579834
25-Jul-2023,3.38656558990479,5.32459378242493,4.67098655700684,5.03742809295654,4.72280616760254,3.71305112838745,8.92114505767822,5.75135040283203,0.985642325878144,3.12558655738831
26-Jul-2023,2.33266878128052,0.756820780038834,0.766723442077637,0.875710356235504,0.792233794927597,2.03590488433838,1.68045289516449,11.7032030105591,NaN,1.5472919344902
27-Jul-2023,2.02149410247803,0.487594878673554,0.3975955337286,0.39004340171814,0.3876908659935,0.384421655535698,0.715681433677673,1.46558358669281,3.37593066692353,0.541930031776428
28-Jul-2023,0.882664084434509,0.402799987792969,0.626302540302277,0.455346578359604,0.543365705013275,0.128006607294083,0.859206938743591,1.12164294719696,1.53969194889069,0.520888584852219
29-Jul-2023,0.937742304801941,0.390842527151108,0.412654310464859,0.414038825035095,0.30170778632164,0.586717128753662,0.312676060199738,1.6809366941452,1.22025508880615,1.44977724552155
30-Jul-2023,1.91476587057114,0.577695727348328,0.4815753698349,0.523944509029388,0.631047427654266,0.37665645480156,0.891611194610596,0.519066977500916,1.74409506320953,0.755513751506805
31-Jul-2023,2.26637353897095,0.726884347200394,0.690271437168121,0.757488918304443,0.649395179748535,0.888726055622101,0.541243386268616,0.807184147834778,0.609314692020416,2.40446465015411
